1	49
2	17
3	45
4	20
5	30
6	30
7	50
8	43
9	60
10	60
11	65
12	35
13	25
14	10
15	5
16	20
17	30
18	40
19	60
20	65
21	20
22	10
23	5
24	35
25	20
26	30
27	40
28	37
29	42
30	60
31	52
32	69
33	52
34	55
35	65
36	60
37	20
38	5
39	12
40	25
41	7
42	12
43	3
44	14
45	38
46	48
47	56
48	52
49	68
50	47
51	58
52	43
53	31
54	29
55	23
56	12
57	12
58	26
59	24
60	34
61	24
62	58
63	69
64	77
65	77
66	73
67	5
68	39
69	47
70	56
71	68
72	16
73	17
74	13
75	11
76	42
77	43
78	52
79	48
80	37
81	54
82	47
83	37
84	31
85	22
86	18
87	18
88	52
89	35
90	67
91	19
92	22
93	24
94	27
95	24
96	27
97	21
98	21
99	26
100	18
101	35
