1	65
2	44
3	76
4	31
5	71
6	30
7	62
8	65
9	45
10	48
11	31
12	55
13	9
14	14
15	70
16	53
17	17
18	80
19	32
20	55
21	60
22	45
23	44
24	71
25	70
26	21
27	80
28	48
29	12
30	61
31	50
32	21
33	79
34	49
35	62
36	15
37	38
38	30
39	18
40	8
41	76
42	61
43	24
44	24
45	61
46	34
47	51
48	44
49	22
50	49
51	54
52	10
53	48
54	49
55	59
56	45
57	20
58	37
59	66
60	50
61	29
62	4
63	30
64	49
65	74
66	76
67	71
68	30
69	77
70	25
71	13
72	8
73	46
74	20
75	28
76	57
77	54
78	40
79	19
80	72
81	22
82	69
83	58
84	43
85	39
86	61
87	14
88	61
89	43
90	55
91	16
92	58
93	60
94	8
95	6
96	22
97	44
98	58
99	53
100	24
101	74
