1	41
2	35
3	55
4	55
5	15
6	25
7	20
8	10
9	55
10	30
11	20
12	50
13	30
14	15
15	30
16	10
17	5
18	20
19	15
20	45
21	45
22	45
23	55
24	65
25	65
26	45
27	35
28	41
29	64
30	40
31	31
32	35
33	53
34	65
35	63
36	2
37	20
38	5
39	60
40	40
41	42
42	24
43	23
44	11
45	6
46	2
47	8
48	13
49	6
50	47
51	49
52	27
53	37
54	57
55	63
56	53
57	32
58	36
59	21
60	17
61	12
62	24
63	27
64	15
65	62
66	49
67	67
68	56
69	37
70	37
71	57
72	47
73	44
74	46
75	49
76	49
77	53
78	61
79	57
80	56
81	55
82	15
83	14
84	11
85	16
86	4
87	28
88	26
89	26
90	31
91	15
92	22
93	18
94	26
95	25
96	22
97	25
98	19
99	20
100	18
101	35
